dataset_name,scenario_type,correlation_strength,zero_probability,scenario_description,n_train,n_test,n_features,n_classes,hidden_width,q_dimension,lambda_reg,power_method_lambda_max_estimate,estimated_L,mu,estimated_condition_number,power_iterations,exact_lambda_min_diagnostic,exact_lambda_max_diagnostic,exact_condition_number_diagnostic
synthetic_well_conditioned,well_conditioned_corr_0_1,0.1,,Well-conditioned ELM with correlation 0.1 and moderate regularization.,1000,350,24,3,70,71,0.05,10.77292079069477,10.880649998601717,0.05,217.61299997203432,15,0.05057960675546071,10.77292079903655,212.98941391776395
synthetic_well_conditioned,well_conditioned_corr_0_2,0.2,,Well-conditioned ELM with correlation 0.2 and moderate regularization.,1000,350,24,3,70,71,0.05,11.388079637350348,11.501960433723852,0.05,230.03920867447704,25,0.05019434908901526,11.388079678946012,226.87971625551424
synthetic_well_conditioned,well_conditioned_corr_0_3,0.3,,Well-conditioned ELM with correlation 0.3 and moderate regularization.,1000,350,24,3,70,71,0.05,12.35709091938199,12.48066182857581,0.05,249.61323657151618,18,0.05013949515174462,12.357090969123204,246.45423596159273
synthetic_well_conditioned,well_conditioned_corr_0_4,0.4,,Well-conditioned ELM with correlation 0.4 and moderate regularization.,1000,350,24,3,70,71,0.05,13.568812911391731,13.704501040505649,0.05,274.09002081011295,16,0.05050501896320669,13.568812921839829,268.662663639921
synthetic_well_conditioned,well_conditioned_corr_0_5,0.5,,Well-conditioned ELM with correlation 0.5 and moderate regularization.,1000,350,24,3,70,71,0.05,10.695960342864913,10.802919946293562,0.05,216.05839892587122,26,0.05032972332855622,10.695960406872764,212.51776682833582
synthetic_well_conditioned,well_conditioned_corr_0_6,0.6,,Well-conditioned ELM with correlation 0.6 and moderate regularization.,1000,350,24,3,70,71,0.05,11.929844634580194,12.049143080925996,0.05,240.9828616185199,14,0.050399270181706056,11.929844654680183,236.706694594369
synthetic_well_conditioned,well_conditioned_corr_0_7,0.7,,Well-conditioned ELM with correlation 0.7 and moderate regularization.,1000,350,24,3,70,71,0.05,14.792363538254472,14.940287173637017,0.05,298.80574347274035,14,0.05007428249665402,14.792363546365138,295.40839746138283
synthetic_well_conditioned,well_conditioned_corr_0_8,0.8,,Well-conditioned ELM with correlation 0.8 and moderate regularization.,1000,350,24,3,70,71,0.05,11.998437499558056,12.118421874553636,0.05,242.3684374910727,51,0.05008982082557127,11.998437648777855,239.5384421629345
synthetic_well_conditioned,well_conditioned_corr_0_9,0.9,,Well-conditioned ELM with correlation 0.9 and moderate regularization.,1000,350,24,3,70,71,0.05,14.437284400320145,14.581657244323347,0.05,291.63314488646694,14,0.050047314496754924,14.437284416791005,288.47270951425617
synthetic_ill_conditioned,ill_conditioned_corr_0_1,0.1,,"Ill-conditioned ELM with correlation 0.1, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,34.054803831379964,34.39535186969376,0.001,34395.35186969376,5,0.0011293863069325716,34.05480383350479,30153.37057343833
synthetic_ill_conditioned,ill_conditioned_corr_0_2,0.2,,"Ill-conditioned ELM with correlation 0.2, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,35.203652021220506,35.55568854143271,0.001,35555.688541432704,5,0.0010936240342145289,35.2036520234647,32189.903405651596
synthetic_ill_conditioned,ill_conditioned_corr_0_3,0.3,,"Ill-conditioned ELM with correlation 0.3, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,35.03528312899186,35.385635960281775,0.001,35385.635960281776,5,0.001134200048443219,35.03528313161574,30889.862136493903
synthetic_ill_conditioned,ill_conditioned_corr_0_4,0.4,,"Ill-conditioned ELM with correlation 0.4, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,33.968752619956305,34.30844014615587,0.001,34308.44014615587,5,0.0011056119505251985,33.96875262018882,30723.937638384476
synthetic_ill_conditioned,ill_conditioned_corr_0_5,0.5,,"Ill-conditioned ELM with correlation 0.5, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,34.703036533638745,35.05006689897513,0.001,35050.06689897513,6,0.0011010697613695049,34.703036533681484,31517.56387398926
synthetic_ill_conditioned,ill_conditioned_corr_0_6,0.6,,"Ill-conditioned ELM with correlation 0.6, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,35.101904684245184,35.45292373108764,0.001,35452.923731087634,6,0.001072595484174611,35.101904684631435,32726.13506446303
synthetic_ill_conditioned,ill_conditioned_corr_0_7,0.7,,"Ill-conditioned ELM with correlation 0.7, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,34.1048180211088,34.44586620131989,0.001,34445.866201319885,6,0.001071983867509525,34.104818021250296,31814.67469327122
synthetic_ill_conditioned,ill_conditioned_corr_0_8,0.8,,"Ill-conditioned ELM with correlation 0.8, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,36.37014692929655,36.733848398589515,0.001,36733.848398589515,5,0.0010649107023193152,36.370146932345286,34153.2363729026
synthetic_ill_conditioned,ill_conditioned_corr_0_9,0.9,,"Ill-conditioned ELM with correlation 0.9, small regularization, and a wider hidden layer.",1200,400,34,3,130,131,0.001,33.736864152909256,34.07423279443835,0.001,34074.23279443835,6,0.001029357848349726,33.73686415432336,32774.670352405185
synthetic_sparse,partially_sparse_zero_0_0,0.25,0.0,Partially sparse ELM with zero probability 0.0 before the hidden layer is built.,1000,350,48,4,100,101,0.005,27.12806316769746,27.399343799374435,0.005,5479.868759874887,8,0.006743032340758447,27.128063177319575,4023.1251766869395
synthetic_sparse,partially_sparse_zero_0_1,0.25,0.1,Partially sparse ELM with zero probability 0.1 before the hidden layer is built.,1000,350,48,4,100,101,0.005,27.836662574749205,28.115029200496696,0.005,5623.005840099339,6,0.006771985713493208,27.836662574996588,4110.5613261309645
synthetic_sparse,partially_sparse_zero_0_2,0.25,0.2,Partially sparse ELM with zero probability 0.2 before the hidden layer is built.,1000,350,48,4,100,101,0.005,31.943813261930906,32.26325139455022,0.005,6452.650278910043,6,0.007662459993486461,31.94381326420752,4168.8717841739635
synthetic_sparse,partially_sparse_zero_0_3,0.25,0.3,Partially sparse ELM with zero probability 0.3 before the hidden layer is built.,1000,350,48,4,100,101,0.005,30.994443885805484,31.304388324663538,0.005,6260.877664932707,7,0.008530783244743604,30.994443886605445,3633.24714711316
synthetic_sparse,partially_sparse_zero_0_4,0.25,0.4,Partially sparse ELM with zero probability 0.4 before the hidden layer is built.,1000,350,48,4,100,101,0.005,28.585408212633258,28.87126229475959,0.005,5774.252458951918,7,0.008876429525462215,28.585408213048474,3220.3723502846115
synthetic_sparse,partially_sparse_zero_0_5,0.25,0.5,Partially sparse ELM with zero probability 0.5 before the hidden layer is built.,1000,350,48,4,100,101,0.005,30.62502824324117,30.931278525673584,0.005,6186.255705134717,6,0.00804442339143967,30.625028244477505,3806.988612392851
synthetic_sparse,partially_sparse_zero_0_6,0.25,0.6,Partially sparse ELM with zero probability 0.6 before the hidden layer is built.,1000,350,48,4,100,101,0.005,25.100296433007784,25.35129939733786,0.005,5070.259879467572,6,0.011208871424314502,25.100296433081652,2239.324146285914
synthetic_sparse,partially_sparse_zero_0_7,0.25,0.7,Partially sparse ELM with zero probability 0.7 before the hidden layer is built.,1000,350,48,4,100,101,0.005,29.792791472833592,30.09071938756193,0.005,6018.143877512386,5,0.010289655439496137,29.79279147298609,2895.4119647805214
synthetic_sparse,partially_sparse_zero_0_8,0.25,0.8,Partially sparse ELM with zero probability 0.8 before the hidden layer is built.,1000,350,48,4,100,101,0.005,32.76778645712411,33.09546432169535,0.005,6619.092864339071,5,0.010627872779580739,32.76778645725487,3083.193329168505
