analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Heavy Ball,0,0.6318015722170833,0.26313223821878684,1.0
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Heavy Ball,50,0.008970422880446798,4.9139971118050685e-06,0.0037091963991887677
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Heavy Ball,100,4.957670232164335e-05,1.0828260510464816e-10,1.3655720671441227e-05
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,0,0.6318015722170833,0.26313223821878684,1.0
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,50,0.010372735595554574,0.00032987525342839663,0.05492318092333602
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,100,0.0004124418675019036,6.953143274202045e-07,0.002615488487709827
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,150,1.931315176470661e-05,1.8191543826873158e-09,0.00013798974824029707
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,200,9.498396762783279e-07,4.9207582453192344e-12,7.427823705863122e-06
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,0,1.3961371804258949,0.40970882809724074,0.9999999999999998
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,50,0.3871502461809947,0.002221280746179971,0.07008220899462468
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,100,0.04292394644985624,1.8806277608099387e-05,0.004990723863845927
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,150,0.003297603606223721,1.100703610895648e-07,0.0003684623765020105
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,200,0.00018362220183938278,4.091131600159059e-10,2.644947669329299e-05
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,250,5.566534547520943e-06,1.0775685899133691e-12,1.8483163912262758e-06
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,0,1.3961371804258949,0.40970882809724074,0.9999999999999998
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,50,0.1066047670087316,0.009484249040278198,0.24731618770886554
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,100,0.0186085602823018,0.00047428507494051697,0.061409576459007846
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,150,0.003986622856175272,2.8581512469399994e-05,0.01572572533855316
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,200,0.0008715096235861033,1.649797284522525e-06,0.003966990372150697
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,250,0.0002024759466573376,1.028051702933741e-07,0.0010223186560059168
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,300,4.9159088960917905e-05,6.777832572968379e-09,0.0002689305495357309
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,350,1.1739814084055659e-05,4.225406413649324e-10,6.902666804766143e-05
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,400,2.911124801364452e-06,2.837718948711654e-11,1.8005847006085384e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,0,1.9721147012731612,0.44256417442208407,1.0
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,50,1.2263848279857559,0.011015644364982563,0.15581729309862918
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,100,0.3012159375246112,0.00047230113452012557,0.024516022694995043
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,150,0.0512150204241627,1.3185058417714002e-05,0.003848424027551043
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,200,0.006328373829691663,2.3707775213821503e-07,0.0006223861052179759
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,250,0.00043133213118848334,3.1402241223998928e-09,9.690754766757501e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,300,4.993609552233315e-05,7.175748883980759e-11,1.532472620761875e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,350,2.361829632494465e-05,3.6297770344972946e-12,2.5366649804712284e-06
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,0,1.9721147012731612,0.44256417442208407,1.0
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,50,0.22929771640737892,0.0216817506929982,0.3602767095583688
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,100,0.05989991813248858,0.0026129159220813214,0.14221060783708694
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,150,0.018896595088617896,0.000309103864729425,0.05121618984760404
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,200,0.006420274221926124,4.685216089303501e-05,0.02072849525618548
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,250,0.002185820001348581,6.174675696940524e-06,0.007803772463702745
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,300,0.0007703761015674355,9.004114247326833e-07,0.003061810544249271
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,350,0.0002724651191790493,1.2512616506810126e-07,0.0011920408640024509
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,400,0.00010114464710101818,1.9397649181351895e-08,0.00047858859028968
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,450,3.6124733339627435e-05,2.74273675299197e-09,0.0001867988976185727
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,500,1.3253992682968708e-05,3.8786922285094505e-10,7.172023999120066e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,550,5.098525345573437e-06,6.212191872023709e-11,2.8728002516020642e-05
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,600,1.8224715123079546e-06,8.528198980339852e-12,1.0948349417246187e-05
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,50,0.9961400188932762,0.00789998040597567,0.06921334128816742
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,100,0.12619548943558428,0.00011013738377468885,0.006284272323454212
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Heavy Ball,150,0.011075865931138346,8.464622515969022e-07,0.0005393324044451947
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,0,2.9791057223565134,0.4595969221204595,0.9207869326351588
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,50,0.0860141696243934,0.004855178041522024,0.22818711201749473
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,Nesterov,100,0.01742997841623503,0.00029497320980655106,0.05644992231053177
