analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,method_type,beta_rule,converged,iterations,time_seconds,final_gradient_norm,objective_gap_to_reference,relative_error_to_reference,relative_error_to_ldlt,train_accuracy,test_accuracy,q_dimension,n_train,n_test,n_features,n_classes,hidden_width,total_output_weights,lambda_reg,estimated_L,mu,condition_number
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,LDLT,scratch,,True,0,0.005257624987279996,6.747580788353238e-16,2.7755575615628914e-17,5.07984142242714e-15,0.0,1.0,1.0,101,1000,350,100,100,100,10000,0.05,15.897867659248947,0.05,317.9573531849789
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Heavy Ball,scratch,constant momentum,True,124,0.016361166985007003,9.939830287368824e-07,1.701139229481896e-13,9.360223785860307e-07,9.360223785030482e-07,1.0,1.0,101,1000,350,100,100,100,10000,0.05,15.897867659248947,0.05,317.9573531849789
dimension_scaling,dimension_scaling,output_weights_10000,total_output_weights,10000,1e-06,Nesterov,scratch,constant beta,True,200,0.024192750017391518,9.498396762783279e-07,4.9207582453192344e-12,7.427823705863122e-06,7.4278237057772495e-06,1.0,1.0,101,1000,350,100,100,100,10000,0.05,15.897867659248947,0.05,317.9573531849789
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,LDLT,scratch,,True,0,0.17407945901504718,2.6785769009588032e-15,0.0,3.603508260695537e-14,0.0,1.0,1.0,501,1000,350,100,100,500,50000,0.05,72.59495649001784,0.05,1451.8991298003566
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Heavy Ball,scratch,constant momentum,True,267,0.3442018339992501,7.740015378748494e-07,1.6045498263395075e-13,7.849634922128792e-07,7.849634922392796e-07,1.0,1.0,501,1000,350,100,100,500,50000,0.05,72.59495649001784,0.05,1451.8991298003566
dimension_scaling,dimension_scaling,output_weights_50000,total_output_weights,50000,1e-06,Nesterov,scratch,constant beta,True,438,0.32677020799019374,9.75395804775501e-07,3.4006825133658936e-12,6.419034676747058e-06,6.4190346766770545e-06,1.0,1.0,501,1000,350,100,100,500,50000,0.05,72.59495649001784,0.05,1451.8991298003566
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,LDLT,scratch,,True,0,0.5778626250103116,3.85804197875896e-15,0.0,7.034269710094599e-14,0.0,1.0,1.0,1001,1000,350,100,100,1000,100000,0.05,148.83688429148805,0.05,2976.7376858297607
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Heavy Ball,scratch,constant momentum,True,393,1.7658856670022942,8.717727454833399e-07,8.257283745649602e-14,5.26384193846377e-07,5.263841936174155e-07,1.0,1.0,1001,1000,350,100,100,1000,100000,0.05,148.83688429148805,0.05,2976.7376858297607
dimension_scaling,dimension_scaling,output_weights_100000,total_output_weights,100000,1e-06,Nesterov,scratch,constant beta,True,634,3.5881894580088556,9.865779278588646e-07,2.4279606103405627e-12,5.786498915515475e-06,5.786498915429238e-06,1.0,1.0,1001,1000,350,100,100,1000,100000,0.05,148.83688429148805,0.05,2976.7376858297607
synthetic_parameter_epsilon,synthetic_well_conditioned,well_corr_0_1,correlation,0.1,0.001,LDLT,scratch,,True,0,0.15895395900588483,3.1483988957201683e-15,0.0,5.5287723110133e-14,0.0,1.0,1.0,501,1000,350,20,20,500,10000,0.05,80.51739537508267,0.05,1610.3479075016533
