dataset,algorithm,hidden_layer_size,output_weight_count,q_dimension,minimum_value,computational_time_seconds,residual_norm,relative_residual_norm,relative_difference_to_our_ldlt
wine,LDLT,833,2499,834,0.0035471036004821556,0.3611229580001236,8.030643020132875e-15,9.607878298608938e-16,0.0
wine,SciPy LDLT,833,2499,834,0.0035471036004821556,0.016983499999696505,4.338224282271926e-15,5.190260709091901e-16,2.434662780190588e-13
wine,LDLT,1667,5001,1668,0.0016542166520328555,1.2606677080002555,1.190853184847855e-14,1.0117777281497432e-15,0.0
wine,SciPy LDLT,1667,5001,1668,0.0016542166520328557,0.05485929200040118,4.468422422339081e-15,3.7964799896514725e-16,4.675716118178117e-13
wine,LDLT,3333,9999,3334,0.0008800068231190922,5.473934249999729,2.2259473136779527e-14,1.3283898553207458e-15,0.0
wine,SciPy LDLT,3333,9999,3334,0.0008800068231190921,0.31665745800091827,5.622576110349614e-15,3.35541323007154e-16,9.368758424633633e-13
digits,LDLT,250,2500,251,0.09670912999954367,0.037489125001229695,2.2151622801740285e-15,9.303996829167222e-16,0.0
digits,SciPy LDLT,250,2500,251,0.09670912999954366,0.0015388750016427366,2.204332801205124e-15,9.25851147629262e-16,4.381918368915995e-14
digits,LDLT,500,5000,501,0.06789029107218222,0.14851462499973422,5.151533481892169e-15,1.5366400664068368e-15,0.0
digits,SciPy LDLT,500,5000,501,0.06789029107218222,0.005400709000241477,3.832108298890541e-15,1.1430715090145287e-15,6.731747957344547e-14
digits,LDLT,1000,10000,1001,0.046090586686135054,0.49904658400009794,6.460755116281845e-15,1.3665012029480903e-15,0.0
digits,SciPy LDLT,1000,10000,1001,0.046090586686135054,0.016201250000449363,6.374390306493123e-15,1.3482343573016342e-15,1.183315257592464e-13
