dataset,algorithm,beta_rule,epsilon,hidden_width,iteration,gradient_norm,relative_objective_gap,relative_error_to_reference
digits,Nesterov,constant beta,0.001,100,0,1.511443656540132,0.3608104320050597,1.0
digits,Nesterov,constant beta,0.001,100,20,0.1310146156023414,0.025396405283242884,0.5839792024210397
digits,Nesterov,constant beta,0.001,100,40,0.04514933699986963,0.005876597131354411,0.30513106801566614
digits,Nesterov,constant beta,0.001,100,60,0.019396761520001825,0.0014187163438143802,0.15257009811366737
digits,Nesterov,constant beta,0.001,100,80,0.009645487397070206,0.0004713660162792843,0.08564093756923953
digits,Nesterov,constant beta,0.001,100,100,0.004869765902206368,0.00014049926959763814,0.048711554593934364
digits,Nesterov,constant beta,0.001,100,120,0.002569834426417473,4.705861357748309e-05,0.029352160000940968
digits,Nesterov,constant beta,0.001,100,140,0.0014360051485843583,1.5613659628405108e-05,0.017754875257627936
digits,Nesterov variable beta,variable beta,0.001,100,0,1.511443656540132,0.3608104320050597,1.0
digits,Nesterov variable beta,variable beta,0.001,100,20,0.06327042179965636,0.029174071142619773,0.7255029957607357
digits,Nesterov variable beta,variable beta,0.001,100,40,0.02563324258340247,0.009188383119188737,0.4839652539525998
digits,Nesterov variable beta,variable beta,0.001,100,60,0.012730482969752677,0.002563962558077948,0.2758953030813591
digits,Nesterov variable beta,variable beta,0.001,100,80,0.0065562497192680905,0.0005879782260860555,0.13094063047592774
digits,Nesterov variable beta,variable beta,0.001,100,100,0.004763685541409282,0.0002567178550017535,0.07179711734718631
digits,Nesterov variable beta,variable beta,0.001,100,120,0.003762597920748065,0.0002041176732259231,0.06970364539938952
digits,Nesterov variable beta,variable beta,0.001,100,140,0.0030433829587363783,0.00015568555224773628,0.06674630259110201
digits,Nesterov variable beta,variable beta,0.001,100,160,0.0022450468338688504,9.18202837532911e-05,0.053071201877844865
digits,Nesterov variable beta,variable beta,0.001,100,180,0.0018457335549933926,5.289040527031719e-05,0.037720026144542854
digits,Nesterov variable beta,variable beta,0.001,100,200,0.0014706183418542315,3.2415612673558636e-05,0.02822666136923546
digits,Nesterov variable beta,variable beta,0.001,100,220,0.001249903832340141,2.7057403369862287e-05,0.027357907000987242
digits,Nesterov variable beta,variable beta,0.001,100,240,0.0011979937337895869,2.5781819243675397e-05,0.027414466788749203
digits,Nesterov,constant beta,0.001,500,0,3.34007098829252,0.43248801348658655,1.0
digits,Nesterov,constant beta,0.001,500,20,0.39236896867002824,0.07936802639177555,0.8662501859934956
digits,Nesterov,constant beta,0.001,500,40,0.2079273469705983,0.03801797142466408,0.6864966675656252
digits,Nesterov,constant beta,0.001,500,60,0.10797216570715348,0.017228025582071163,0.526582175593113
digits,Nesterov,constant beta,0.001,500,80,0.07824702533533318,0.011080753598738835,0.4149185556829822
digits,Nesterov,constant beta,0.001,500,100,0.05118166835728769,0.00707889344632899,0.3312125228786986
digits,Nesterov,constant beta,0.001,500,120,0.035194541744691304,0.00423204348168621,0.2611918582498655
digits,Nesterov,constant beta,0.001,500,140,0.02455544793403486,0.002353325807621681,0.20400567317582832
digits,Nesterov,constant beta,0.001,500,160,0.01843116066900273,0.0014893636803427063,0.16116463655514118
digits,Nesterov,constant beta,0.001,500,180,0.01387088953208717,0.0009651368459536874,0.12766916618066232
digits,Nesterov,constant beta,0.001,500,200,0.010319073250149162,0.0005676058169725023,0.09988632762583542
digits,Nesterov,constant beta,0.001,500,220,0.0075858032733145,0.0003279805394131724,0.07799578876699208
digits,Nesterov,constant beta,0.001,500,240,0.005539479135969555,0.00020477566613620601,0.061682239093119914
digits,Nesterov,constant beta,0.001,500,260,0.004708679868003831,0.00013871678869624426,0.04912012213885095
digits,Nesterov,constant beta,0.001,500,280,0.0034702315480169303,8.409601552221424e-05,0.038605296693325804
digits,Nesterov,constant beta,0.001,500,300,0.002528294794424988,4.7524533215465015e-05,0.030033956408686134
digits,Nesterov,constant beta,0.001,500,320,0.0019253321775528414,2.8990819412516577e-05,0.02360405480644468
digits,Nesterov,constant beta,0.001,500,340,0.0016150868789135827,1.9534876304808102e-05,0.018781509984095612
digits,Nesterov,constant beta,0.001,500,360,0.0012312353084930167,1.2394007369770366e-05,0.014843902172186734
digits,Nesterov variable beta,variable beta,0.001,500,0,3.34007098829252,0.43248801348658655,1.0
digits,Nesterov variable beta,variable beta,0.001,500,20,0.16216011611002892,0.08104241931805807,0.9312502578359995
digits,Nesterov variable beta,variable beta,0.001,500,40,0.0838499394015809,0.051731564601844124,0.8398405140904297
digits,Nesterov variable beta,variable beta,0.001,500,60,0.057764404328100385,0.03294343892266517,0.7301890945445346
digits,Nesterov variable beta,variable beta,0.001,500,80,0.038908642256971805,0.01960992726733604,0.6162153195530693
digits,Nesterov variable beta,variable beta,0.001,500,100,0.026588383834367978,0.011416025906935592,0.5094242195066973
digits,Nesterov variable beta,variable beta,0.001,500,120,0.019411915056078477,0.006782992519858491,0.4147308298814509
digits,Nesterov variable beta,variable beta,0.001,500,140,0.015370028455888645,0.0041147230595299095,0.33229065534883956
digits,Nesterov variable beta,variable beta,0.001,500,160,0.01197302100556828,0.0024614734988880754,0.26112009563002997
digits,Nesterov variable beta,variable beta,0.001,500,180,0.009312973434777884,0.001463909212126288,0.20121427544253515
digits,Nesterov variable beta,variable beta,0.001,500,200,0.007807613580741984,0.0009108214746061799,0.15293555398464362
digits,Nesterov variable beta,variable beta,0.001,500,220,0.006822758201765773,0.0006024014286016705,0.11616497170521072
digits,Nesterov variable beta,variable beta,0.001,500,240,0.0058101713310433605,0.0004200074137552384,0.09079508082309024
digits,Nesterov variable beta,variable beta,0.001,500,260,0.00496029484160907,0.0003221990560000887,0.07668788362023256
digits,Nesterov variable beta,variable beta,0.001,500,280,0.004594012601355796,0.000281856507666281,0.0716100210514959
digits,Nesterov variable beta,variable beta,0.001,500,300,0.004369669215308942,0.0002601711093540293,0.07091947752571048
digits,Nesterov variable beta,variable beta,0.001,500,320,0.003947334268189175,0.00023305456085949416,0.07079797560267989
digits,Nesterov variable beta,variable beta,0.001,500,340,0.003472474561027176,0.00020354241128400785,0.06972375296643153
digits,Nesterov variable beta,variable beta,0.001,500,360,0.003213217841659712,0.00017910538796810094,0.06736895928922941
digits,Nesterov variable beta,variable beta,0.001,500,380,0.0030419207019796047,0.00015637437997438608,0.063619088051913
digits,Nesterov variable beta,variable beta,0.001,500,400,0.0028042504094708647,0.0001308239236710862,0.05855659104833597
digits,Nesterov variable beta,variable beta,0.001,500,420,0.0024639958287962266,0.00010458636403225252,0.05267516685489398
digits,Nesterov variable beta,variable beta,0.001,500,440,0.0022026134589189367,8.387021364976432e-05,0.04675234599014102
digits,Nesterov variable beta,variable beta,0.001,500,460,0.002091890410600459,7.032803267227605e-05,0.041407587567754305
digits,Nesterov variable beta,variable beta,0.001,500,480,0.002006672760505039,6.047320373063492e-05,0.036872940090105014
digits,Nesterov variable beta,variable beta,0.001,500,500,0.0018587143516292203,5.1603761062501974e-05,0.03321593679266748
digits,Nesterov variable beta,variable beta,0.001,500,520,0.001702308486218628,4.4094740860436965e-05,0.030578972509742383
digits,Nesterov variable beta,variable beta,0.001,500,540,0.0015825981060727896,3.885200632898489e-05,0.0290668344633447
digits,Nesterov variable beta,variable beta,0.001,500,560,0.0014939191101719452,3.5795385069148367e-05,0.0285189006914163
digits,Nesterov variable beta,variable beta,0.001,500,580,0.0014300627513539545,3.422315777774909e-05,0.028501104700663183
digits,Nesterov variable beta,variable beta,0.001,500,600,0.0013931768929694498,3.313049904814236e-05,0.028491353080109
digits,Nesterov variable beta,variable beta,0.001,500,620,0.0013483982830107264,3.136028186018214e-05,0.02807910321193588
digits,Nesterov variable beta,variable beta,0.001,500,640,0.0012667917239579725,2.8442598475258984e-05,0.027095428954971513
digits,Nesterov variable beta,variable beta,0.001,500,660,0.0011721755071429846,2.496940351003063e-05,0.025616947236601413
digits,Nesterov variable beta,variable beta,0.001,500,680,0.0011052536267116115,2.1740019030352942e-05,0.023850213364298475
