analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,method_type,beta_rule,converged,iterations,time_seconds,final_gradient_norm,objective_gap_to_reference,relative_error_to_reference,relative_error_to_ldlt,train_accuracy,test_accuracy,q_dimension,n_train,n_test,n_features,n_classes,hidden_width,total_output_weights,lambda_reg,estimated_L,mu,condition_number
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov,scratch,constant beta,True,79,0.022852291993331164,0.0009560303206544069,3.6303040834573252e-06,0.0059960538842988255,0.005996053884298662,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,13.49187463151699,0.05,269.8374926303398
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,scratch,variable beta,True,189,0.03213987499475479,0.0009956915095010142,5.475692545275912e-06,0.007802689417473052,0.007802689417473185,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,13.49187463151699,0.05,269.8374926303398
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov,scratch,constant beta,True,205,0.1380010409920942,0.0009862496990189922,1.970989403368706e-06,0.004305724000405643,0.004305724000405718,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.05,77.75431302899263,0.05,1555.0862605798525
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,0.001,Nesterov variable beta,scratch,variable beta,True,535,0.8770739580068039,0.0009976604937228567,4.536442441763211e-06,0.007649257495707235,0.007649257495707314,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.05,77.75431302899263,0.05,1555.0862605798525
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov,scratch,constant beta,True,661,0.10314295900752768,0.000999766442492492,2.1052661417164664e-05,0.011868364297830298,0.011868364297828707,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,26.867394298683664,0.001,26867.394298683663
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,0.001,Nesterov variable beta,scratch,variable beta,True,717,0.13184333300159778,0.0009982351383982767,7.12622788240358e-05,0.0339460222842079,0.0339460222842013,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,26.867394298683664,0.001,26867.394298683663
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,0.001,Nesterov,scratch,constant beta,True,1523,1.4521806659904541,0.0009985834653527712,9.916128624932324e-06,0.011173105975276196,0.011173105975280925,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,131.69739923615285,0.001,131697.39923615285
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,0.001,Nesterov variable beta,scratch,variable beta,True,1363,1.255034917005105,0.0009992836814470458,6.291191017451445e-05,0.053110003980588356,0.05311000398058531,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,131.69739923615285,0.001,131697.39923615285
beta_fixed_vs_variable_focused,synthetic_sparse,sparse_zero_0_7_hidden_100,hidden_width,100,0.001,Nesterov,scratch,constant beta,True,308,0.0647129160061013,0.000992313667131842,4.869455528855315e-06,0.010097118693983054,0.01009711869398362,0.922,0.5085714285714286,101,1000,350,100,100,100,10000,0.005,33.20191078013518,0.005,6640.382156027035
beta_fixed_vs_variable_focused,synthetic_sparse,sparse_zero_0_7_hidden_100,hidden_width,100,0.001,Nesterov variable beta,scratch,variable beta,True,315,0.051405042002443224,0.000997331500442449,7.448361306561235e-06,0.014573726783283412,0.014573726783279376,0.923,0.5085714285714286,101,1000,350,100,100,100,10000,0.005,33.20191078013518,0.005,6640.382156027035
beta_fixed_vs_variable_focused,synthetic_sparse,sparse_zero_0_7_hidden_500,hidden_width,500,0.001,Nesterov,scratch,constant beta,True,744,1.1913546249998035,0.0009943305047447712,8.08910196972712e-06,0.008149495542006918,0.00814949554200667,1.0,0.6485714285714286,501,1000,350,100,100,500,50000,0.005,136.3484324478405,0.005,27269.686489568103
beta_fixed_vs_variable_focused,synthetic_sparse,sparse_zero_0_7_hidden_500,hidden_width,500,0.001,Nesterov variable beta,scratch,variable beta,True,1249,1.742673750006361,0.0009993062536379795,1.9998311785479617e-05,0.01671181357526178,0.016711813575262722,1.0,0.6457142857142857,501,1000,350,100,100,500,50000,0.005,136.3484324478405,0.005,27269.686489568103
beta_fixed_vs_variable_focused,wine,real_dataset_hidden_100,hidden_width,100,0.001,Nesterov,scratch,constant beta,True,124,0.0012922499881824479,0.00098971277825271,1.3039177707740296e-05,0.028703527501918152,0.028703527501921663,1.0,1.0,101,124,54,13,3,100,300,0.01,12.32318187727482,0.01,1232.318187727482
beta_fixed_vs_variable_focused,wine,real_dataset_hidden_100,hidden_width,100,0.001,Nesterov variable beta,scratch,variable beta,True,191,0.0021900419960729778,0.0009919707042014391,1.9968897991044787e-05,0.036999897391998264,0.03699989739199305,1.0,1.0,101,124,54,13,3,100,300,0.01,12.32318187727482,0.01,1232.318187727482
beta_fixed_vs_variable_focused,wine,real_dataset_hidden_500,hidden_width,500,0.001,Nesterov,scratch,constant beta,True,307,0.024319290998391807,0.000991942562905319,4.413417343576351e-06,0.0133831948099204,0.013383194809930388,1.0,0.9814814814814815,501,124,54,13,3,500,1500,0.01,62.47798299882339,0.01,6247.798299882339
beta_fixed_vs_variable_focused,wine,real_dataset_hidden_500,hidden_width,500,0.001,Nesterov variable beta,scratch,variable beta,True,405,0.033891165992827155,0.0009954545237486454,1.2044633953624956e-05,0.028934766070030874,0.028934766070033046,1.0,0.9814814814814815,501,124,54,13,3,500,1500,0.01,62.47798299882339,0.01,6247.798299882339
beta_fixed_vs_variable_focused,digits,real_dataset_hidden_100,hidden_width,100,0.001,Nesterov,scratch,constant beta,True,148,0.002873416990041733,0.000981061105418505,9.395173179577165e-06,0.014528803390338747,0.014528803390338992,0.9688195991091314,0.9377777777777778,101,1347,450,64,10,100,1000,0.01,14.876555749411905,0.01,1487.6555749411905
beta_fixed_vs_variable_focused,digits,real_dataset_hidden_100,hidden_width,100,0.001,Nesterov variable beta,scratch,variable beta,True,258,0.0050338749861111864,0.0009937576049554708,1.8598954268284063e-05,0.023562902936782773,0.02356290293678071,0.9673348181143281,0.9377777777777778,101,1347,450,64,10,100,1000,0.01,14.876555749411905,0.01,1487.6555749411905
beta_fixed_vs_variable_focused,digits,real_dataset_hidden_500,hidden_width,500,0.001,Nesterov,scratch,constant beta,True,378,0.09242849999282043,0.0009919843621363888,7.771242794413213e-06,0.011863674037629206,0.011863674037622686,0.9970304380103935,0.9666666666666667,501,1347,450,64,10,500,5000,0.01,75.35330583147041,0.01,7535.330583147041
beta_fixed_vs_variable_focused,digits,real_dataset_hidden_500,hidden_width,500,0.001,Nesterov variable beta,scratch,variable beta,True,717,0.3353231249930104,0.0009971998143341126,1.6901470420008224e-05,0.02053701714449535,0.02053701714449074,0.9970304380103935,0.9666666666666667,501,1347,450,64,10,500,5000,0.01,75.35330583147041,0.01,7535.330583147041
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,221,0.03636045900930185,9.874912206847704e-07,5.080019738201713e-12,7.456923321479743e-06,7.456923321557258e-06,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,19.231462585410785,0.05,384.6292517082157
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,2158,0.4661344170017401,9.985080817778435e-07,7.947059676993717e-12,1.0625226265825868e-05,1.0625226265833995e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,19.231462585410785,0.05,384.6292517082157
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,442,0.4411785830016015,9.751409506699646e-07,3.380976054678797e-12,6.4617201084901805e-06,6.461720108667265e-06,0.999,0.9857142857142858,501,1000,350,100,100,500,50000,0.05,73.40360005898067,0.05,1468.0720011796134
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,True,6170,5.427133791992674,9.996847260174061e-07,7.848791061526583e-12,1.207650590290914e-05,1.2076505902929746e-05,0.999,0.9857142857142858,501,1000,350,100,100,500,50000,0.05,73.40360005898067,0.05,1468.0720011796134
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,1699,0.44009066600119695,9.954422599805886e-07,3.984247654020834e-11,1.9662301500648523e-05,1.9662301498995897e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,27.47664507049363,0.001,27476.64507049363
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,False,20000,3.9752248340082588,1.1163626998223114e-06,2.196689496969384e-10,7.837527339340407e-05,7.837527338361195e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,27.47664507049363,0.001,27476.64507049363
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,3831,4.736105207994115,9.938794334119428e-07,1.833247442739605e-11,1.8285392538004175e-05,1.8285392530288356e-05,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,132.06105519674597,0.001,132061.05519674596
beta_fixed_vs_variable_focused,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,False,20000,20.701448916996014,7.888042141243086e-06,1.0087944628950352e-08,0.0007726451668614444,0.0007726451668625805,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,132.06105519674597,0.001,132061.05519674596
beta_fixed_vs_variable_focused,synthetic_sparse,sparse_zero_0_7_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,764,0.2736001249868423,9.89843448863575e-07,9.602485473436673e-12,1.9912743261753355e-05,1.9912743262650467e-05,0.918,0.49142857142857144,101,1000,350,100,100,100,10000,0.005,29.908399080315302,0.005,5981.679816063061
