analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov,0,0.6167359989079143,0.25756447523572995,1.0
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov,20,0.06746251386762549,0.010638804276892788,0.2998177979495005
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov,40,0.014507149101957868,0.0006524486744997615,0.07834163173147894
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov,60,0.003551533066280399,4.4738587598319723e-05,0.020842989412115747
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,0,0.6167359989079143,0.25756447523572995,1.0
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,20,0.06982858866044006,0.020525579101761504,0.44262922779695846
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,40,0.018194711927033945,0.0011929444240012521,0.1060898384767565
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,60,0.010555229218323537,0.0004833554614608604,0.06703828670277173
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,80,0.006011381823418585,0.0001759222698946572,0.04408806141553885
beta_fixed_vs_variable_focused,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,0.001,Nesterov variable beta,100,0.0037858066787180757,6.472749828650981e-05,0.02453160991366003
