analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,method_type,beta_rule,converged,iterations,time_seconds,final_gradient_norm,objective_gap_to_reference,relative_error_to_reference,relative_error_to_ldlt,train_accuracy,test_accuracy,q_dimension,n_train,n_test,n_features,n_classes,hidden_width,total_output_weights,lambda_reg,estimated_L,mu,condition_number
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,182,0.12370337499305606,9.83991061721594e-07,5.364125810203291e-12,7.93701351266452e-06,7.937013512546652e-06,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,13.49187463151699,0.05,269.8374926303398
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,1574,0.347027584008174,9.91574001627705e-07,8.109402038769531e-12,1.1050162880975849e-05,1.1050162880894659e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.05,13.49187463151699,0.05,269.8374926303398
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov,scratch,constant beta,True,320,0.4378527499939082,9.801997850253865e-07,4.125644270658313e-12,6.56480045850303e-06,6.564800458469268e-06,0.999,0.9971428571428571,251,1000,350,100,100,250,25000,0.05,38.9067172832648,0.05,778.1343456652959
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,scratch,variable beta,True,3836,2.0335020420025103,9.952551938722136e-07,7.974038096492109e-12,1.0880092522016188e-05,1.0880092522050911e-05,0.999,0.9971428571428571,251,1000,350,100,100,250,25000,0.05,38.9067172832648,0.05,778.1343456652959
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,456,0.4505379160109442,9.919724020134433e-07,3.4811875604390252e-12,6.393877537070956e-06,6.393877537019523e-06,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.05,78.06837240245106,0.05,1561.367448049021
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,True,6488,6.39756829199905,9.998829563244934e-07,7.779416000275319e-12,1.1890534210174475e-05,1.1890534210170432e-05,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.05,78.06837240245106,0.05,1561.367448049021
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,1649,0.43116812501102686,9.932317914786012e-07,4.140197906732368e-11,1.9918466184168767e-05,1.9918466184490684e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,25.66437524828904,0.001,25664.37524828904
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,scratch,variable beta,True,19746,4.060132749989862,9.988784889781695e-07,1.6894721732718665e-10,6.312098855149945e-05,6.312098856444411e-05,0.999,0.9971428571428571,101,1000,350,100,100,100,10000,0.001,25.66437524828904,0.001,25664.37524828904
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_250,hidden_width,250,1e-06,Nesterov,scratch,constant beta,True,2749,0.8433417500054929,9.98445287508639e-07,2.7076257902436396e-11,1.7680265122150887e-05,1.768026512871853e-05,0.999,0.9971428571428571,251,1000,350,100,100,250,25000,0.001,68.54138917721228,0.001,68541.38917721227
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_250,hidden_width,250,1e-06,Nesterov variable beta,scratch,variable beta,False,20000,7.596403500007,4.453010406120197e-06,3.21492434757209e-09,0.0003345202578544489,0.0003345202578469144,0.999,0.9971428571428571,251,1000,350,100,100,250,25000,0.001,68.54138917721228,0.001,68541.38917721227
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,1e-06,Nesterov,scratch,constant beta,True,3802,3.7729602090112166,9.953300561505872e-07,1.8712299071355076e-11,1.8729184887371102e-05,1.8729184904522523e-05,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,130.50326745512487,0.001,130503.26745512486
beta_fixed_vs_variable,synthetic_ill_conditioned,ill_corr_0_9_hidden_500,hidden_width,500,1e-06,Nesterov variable beta,scratch,variable beta,False,20000,18.10438979200262,8.064670346477301e-06,1.0377725040422447e-08,0.0007745114635054337,0.0007745114635077361,0.999,0.9971428571428571,501,1000,350,100,100,500,50000,0.001,130.50326745512487,0.001,130503.26745512486
beta_fixed_vs_variable,synthetic_sparse,sparse_zero_0_7_hidden_100,hidden_width,100,1e-06,Nesterov,scratch,constant beta,True,715,0.13110033399425447,9.948284552802415e-07,7.894351838899638e-12,1.4416966862411135e-05,1.4416966862442907e-05,0.937,0.52,101,1000,350,100,100,100,10000,0.005,26.748702892031982,0.005,5349.740578406397
