analysis_group,dataset_name,scenario_type,sweep_parameter,sweep_value,epsilon,method,iteration,grad_norm,objective_gap_to_reference,relative_error_to_reference
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,0,0.6167359989079143,0.25756447523572995,1.0
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,20,0.06746251386762549,0.010638804276892788,0.2998177979495005
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,40,0.014507149101957868,0.0006524486744997615,0.07834163173147894
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,60,0.003551533066280399,4.4738587598319723e-05,0.020842989412115747
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,80,0.0008927554049468413,3.17958127959983e-06,0.005611831780260477
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,100,0.00021891499719902112,2.0418385360265745e-07,0.0014471066742495168
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,120,6.020937191922548e-05,1.662284998538155e-08,0.0004163660762089536
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,140,1.546820836272256e-05,1.2032685126062148e-09,0.00011563393498638444
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,160,4.269063003092931e-06,9.467332473533929e-11,3.2632951979631175e-05
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov,180,1.127923414103956e-06,6.992073586786773e-12,9.035886017404534e-06
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,0,0.6167359989079143,0.25756447523572995,1.0
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,20,0.06982858866044006,0.020525579101761504,0.44262922779695846
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,40,0.018194711927033945,0.0011929444240012521,0.1060898384767565
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,60,0.010555229218323537,0.0004833554614608604,0.06703828670277173
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,80,0.006011381823418585,0.0001759222698946572,0.04408806141553885
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,100,0.0037858066787180757,6.472749828650981e-05,0.02453160991366003
beta_fixed_vs_variable,synthetic_well_conditioned,well_corr_0_1_hidden_100,hidden_width,100,1e-06,Nesterov variable beta,120,0.002815179693946674,4.261375063208117e-05,0.02207514487266762
