algorithm,dataset,epsilon,initial_gradient_norm,final_gradient_norm,absolute_gap,relative_gap,computational_time_seconds,number_of_iterations,hidden_layer_size,alpha,beta
Heavy Ball,wine,0.001,14.730209620745935,0.0009511893330704051,4.045269844251374e-09,4.045269844251374e-09,0.31775070799631067,978,3333,0.009724129046931616,0.9803750415683977
Nesterov,wine,0.001,14.730209620745935,0.0009980282107130763,1.8744053063869388e-05,1.8744053063869388e-05,0.1625373330025468,903,3333,0.0024551833839591324,0.9901389001389642
PyTorch SGD momentum,wine,0.001,14.730209620745935,0.0009511893331250905,4.045269844468215e-09,4.045269844468215e-09,0.27908554099849425,978,3333,0.009724129046931616,0.9803750415683977
PyTorch SGD Nesterov,wine,0.001,14.730209620745935,0.0009980282107130594,1.8744053063868738e-05,1.8744053063868738e-05,0.2438098329876084,903,3333,0.0024551833839591324,0.9901389001389642
Heavy Ball,wine,1e-05,14.730209620745935,8.59750019616277e-06,6.734446984443809e-13,6.734446984443809e-13,0.29050350000034086,1435,3333,0.009724129046931616,0.9803750415683977
Nesterov,wine,1e-05,14.730209620745935,9.973541481112623e-06,4.34312077610393e-09,4.34312077610393e-09,0.34564241699990816,1868,3333,0.0024551833839591324,0.9901389001389642
PyTorch SGD momentum,wine,1e-05,14.730209620745935,8.59750008453099e-06,6.734449152848154e-13,6.734449152848154e-13,0.41483812499791384,1435,3333,0.009724129046931616,0.9803750415683977
PyTorch SGD Nesterov,wine,1e-05,14.730209620745935,9.973541481137861e-06,4.343120775670249e-09,4.343120775670249e-09,0.5016865000070538,1868,3333,0.0024551833839591324,0.9901389001389642
Heavy Ball,wine,1e-07,14.730209620745935,7.781357610649905e-08,6.537739100087592e-17,6.537739100087592e-17,0.3768811670015566,1924,3333,0.009724129046931616,0.9803750415683977
Nesterov,wine,1e-07,14.730209620745935,9.96621419086766e-08,4.827705075982625e-13,4.827705075982625e-13,0.5482717500126455,2863,3333,0.0024551833839591324,0.9901389001389642
PyTorch SGD momentum,wine,1e-07,14.730209620745935,7.781357350450296e-08,6.516055056637882e-17,6.516055056637882e-17,0.5325327499886043,1924,3333,0.009724129046931616,0.9803750415683977
PyTorch SGD Nesterov,wine,1e-07,14.730209620745935,9.96621419274932e-08,4.827706160184797e-13,4.827706160184797e-13,0.7686155420087744,2863,3333,0.0024551833839591324,0.9901389001389642
Heavy Ball,wine,0.001,59.64401357395454,0.0008881501863788291,2.3954890221780916e-09,2.3954890221780916e-09,4.853700333012966,2396,16667,0.0019546433855284835,0.9911772766222549
Nesterov,wine,0.001,59.64401357395454,0.000998589493467953,3.6404926106505935e-05,3.6404926106505935e-05,4.910839333984768,2283,16667,0.0004908284667627461,0.9955788650941998
PyTorch SGD momentum,wine,0.001,59.64401357395454,0.0008881501864245868,2.3954890221509866e-09,2.3954890221509866e-09,3.1334291250095703,2396,16667,0.0019546433855284835,0.9911772766222549
PyTorch SGD Nesterov,wine,0.001,59.64401357395454,0.0009985894934679482,3.640492610650333e-05,3.640492610650333e-05,2.7141575410205405,2283,16667,0.0004908284667627461,0.9955788650941998
