algorithm,dimensionality,rho,computational_time
LDLT,10000,0.1,0.010544207994826138
Heavy Ball,10000,0.1,0.03292816600151127
Nesterov,10000,0.1,0.02078845800133422
LDLT,10000,0.5,0.00441549999959534
Heavy Ball,10000,0.5,0.02043266699911328
Nesterov,10000,0.5,0.022507209003379103
LDLT,10000,0.9,0.011208791998797096
Heavy Ball,10000,0.9,0.019394707996980287
Nesterov,10000,0.9,0.021345041997847147
LDLT,50000,0.1,0.14734479100297904
Heavy Ball,50000,0.1,0.3334136249977746
Nesterov,50000,0.1,0.33579762499721255
LDLT,50000,0.5,0.15447095800482202
Heavy Ball,50000,0.5,0.41693483300332446
Nesterov,50000,0.5,0.32249420799780637
LDLT,50000,0.9,0.14798391700605862
Heavy Ball,50000,0.9,0.3367880410005455
Nesterov,50000,0.9,0.31915329200273845
LDLT,100000,0.1,0.5306744999979855
Heavy Ball,100000,0.1,2.1167054170000483
Nesterov,100000,0.1,2.079612499997893
LDLT,100000,0.5,0.53356962500402
Heavy Ball,100000,0.5,1.3561577910004416
Nesterov,100000,0.5,1.7817866250043153
LDLT,100000,0.9,0.5434688329987694
Heavy Ball,100000,0.9,2.152754750000895
Nesterov,100000,0.9,2.7849746249994496
