algorithm,dimensionality,sparseness_percentage,computational_time
LDLT,10000,0.1,0.012891792022855952
Heavy Ball,10000,0.1,0.43246954097412527
Nesterov,10000,0.1,0.5413499170099385
LDLT,10000,0.4,0.012896333006210625
Heavy Ball,10000,0.4,0.4767482919851318
Nesterov,10000,0.4,0.4907872080220841
LDLT,10000,0.7,0.013234999991254881
Heavy Ball,10000,0.7,0.2834499169839546
Nesterov,10000,0.7,0.43476104200817645
LDLT,50000,0.1,0.3118427919980604
Heavy Ball,50000,0.1,6.852811415999895
Nesterov,50000,0.1,3.7639135000063106
LDLT,50000,0.4,0.3438507090031635
Heavy Ball,50000,0.4,19.819602540985215
Nesterov,50000,0.4,4.166514541982906
LDLT,50000,0.7,0.2977192089892924
Heavy Ball,50000,0.7,2.607859791984083
Nesterov,50000,0.7,4.548647375020664
LDLT,100000,0.1,0.9582332090067212
Heavy Ball,100000,0.1,10.770775999990292
Nesterov,100000,0.1,15.28473754200968
LDLT,100000,0.4,0.8577689579979051
Heavy Ball,100000,0.4,11.173943915986456
Nesterov,100000,0.4,11.789994874998229
LDLT,100000,0.7,0.716702042001998
Heavy Ball,100000,0.7,6.685304917016765
Nesterov,100000,0.7,21.747401667002123
