algorithm,dimensionality,rho,computational_time
Heavy Ball,10000,0.1,0.1990518330130726
Nesterov,10000,0.1,0.33921075001126155
PyTorch SGD momentum,10000,0.1,0.3390220000001136
PyTorch SGD Nesterov,10000,0.1,0.5530650420114398
Heavy Ball,10000,0.5,0.2999912920058705
Nesterov,10000,0.5,0.4255949579819571
PyTorch SGD momentum,10000,0.5,0.3699073750176467
PyTorch SGD Nesterov,10000,0.5,0.5875395830080379
Heavy Ball,10000,0.9,0.2945119999931194
Nesterov,10000,0.9,0.49185008299537003
PyTorch SGD momentum,10000,0.9,0.3055124169914052
PyTorch SGD Nesterov,10000,0.9,0.5309746249986347
Heavy Ball,50000,0.1,3.9894181249837857
Nesterov,50000,0.1,4.718548333010403
PyTorch SGD momentum,50000,0.1,13.270072500017704
PyTorch SGD Nesterov,50000,0.1,20.15371033397969
Heavy Ball,50000,0.5,2.8765732499887235
Nesterov,50000,0.5,4.174516583007062
PyTorch SGD momentum,50000,0.5,12.261687291000271
PyTorch SGD Nesterov,50000,0.5,20.396745834004832
Heavy Ball,50000,0.9,2.841535040992312
Nesterov,50000,0.9,6.1230968330055475
PyTorch SGD momentum,50000,0.9,14.041756666993024
PyTorch SGD Nesterov,50000,0.9,21.27791129198158
Heavy Ball,100000,0.1,17.49630066700047
Nesterov,100000,0.1,27.345940208993852
PyTorch SGD momentum,100000,0.1,24.981005290988833
PyTorch SGD Nesterov,100000,0.1,43.25668041600147
Heavy Ball,100000,0.5,15.014826999977231
Nesterov,100000,0.5,27.200977749977028
PyTorch SGD momentum,100000,0.5,29.96694408400799
PyTorch SGD Nesterov,100000,0.5,42.93177070899401
Heavy Ball,100000,0.9,14.402254583023023
Nesterov,100000,0.9,29.988884958002018
PyTorch SGD momentum,100000,0.9,25.056103334005456
PyTorch SGD Nesterov,100000,0.9,39.19075999999768
