algorithm,dimensionality,sparseness_percentage,computational_time
Heavy Ball,10000,0.1,0.0062509159979526885
Nesterov,10000,0.1,0.007847375003620982
PyTorch SGD momentum,10000,0.1,0.04104629200446652
PyTorch SGD Nesterov,10000,0.1,0.05709391700656852
Heavy Ball,10000,0.4,0.008638541999971494
Nesterov,10000,0.4,0.011745750001864508
PyTorch SGD momentum,10000,0.4,0.0558402919996297
PyTorch SGD Nesterov,10000,0.4,0.06806770799448714
Heavy Ball,10000,0.7,0.01089920799859101
Nesterov,10000,0.7,0.00992124999902444
PyTorch SGD momentum,10000,0.7,0.05612704200029839
PyTorch SGD Nesterov,10000,0.7,0.0722257500019623
Heavy Ball,50000,0.1,0.20399320800061105
Nesterov,50000,0.1,0.19521062500280095
PyTorch SGD momentum,50000,0.1,0.3141884169963305
PyTorch SGD Nesterov,50000,0.1,0.405312832997879
Heavy Ball,50000,0.4,0.18212337500153808
Nesterov,50000,0.4,0.22254208399681374
PyTorch SGD momentum,50000,0.4,0.3543155419974937
PyTorch SGD Nesterov,50000,0.4,0.35329308299697004
Heavy Ball,50000,0.7,0.18639629099925514
Nesterov,50000,0.7,0.269822166999802
PyTorch SGD momentum,50000,0.7,0.464330417002202
PyTorch SGD Nesterov,50000,0.7,0.38823083299939753
Heavy Ball,100000,0.1,0.9164092499995604
Nesterov,100000,0.1,1.4415887499999371
PyTorch SGD momentum,100000,0.1,2.1756892090052133
PyTorch SGD Nesterov,100000,0.1,2.8752120419958374
Heavy Ball,100000,0.4,1.2122114159938064
Nesterov,100000,0.4,1.8000060000049416
PyTorch SGD momentum,100000,0.4,1.5885164589999476
PyTorch SGD Nesterov,100000,0.4,2.256328625000606
Heavy Ball,100000,0.7,1.4173280830000294
Nesterov,100000,0.7,1.8792420410027262
PyTorch SGD momentum,100000,0.7,1.8748695000031148
PyTorch SGD Nesterov,100000,0.7,2.996654041999136
