rho,method,epsilon,output_weight_count,condition_number,iteration,relative_gap,grad_norm,objective_value,objective_gap_to_reference,relative_error_to_reference
0.1,Heavy Ball,1e-06,10000,42621.42450905062,0.0,0.10999159157283023,0.8268278339392597,0.5,0.10999159157283023,1.0
0.1,Heavy Ball,1e-06,10000,42621.42450905062,50.0,0.09454326619610154,2.491669376550983,0.4845516746232713,0.09454326619610154,0.6618980133877967
0.1,Heavy Ball,1e-06,10000,42621.42450905062,100.0,0.07403346014462497,2.367791136031991,0.46404186857179475,0.07403346014462497,0.4083555492989444
0.1,Heavy Ball,1e-06,10000,42621.42450905062,150.0,0.03185333806329399,1.5555590165401605,0.42186174649046376,0.03185333806329399,0.2724014573391753
0.1,Heavy Ball,1e-06,10000,42621.42450905062,200.0,0.007646578142458116,0.7435622896685198,0.3976549865696279,0.007646578142458116,0.16308423126861263
0.1,Heavy Ball,1e-06,10000,42621.42450905062,250.0,0.000829697758195358,0.19599923621795434,0.39083810618536513,0.000829697758195358,0.08922971437910973
0.1,Heavy Ball,1e-06,10000,42621.42450905062,300.0,0.00023277130753712738,0.07940929126743763,0.3902411797347069,0.00023277130753712738,0.049834091382513344
0.1,Heavy Ball,1e-06,10000,42621.42450905062,350.0,0.0003414673474060326,0.1554552697795744,0.3903498757745758,0.0003414673474060326,0.03078613170326642
0.1,Heavy Ball,1e-06,10000,42621.42450905062,400.0,0.00023924818189841046,0.13449719534863439,0.3902476566090682,0.00023924818189841046,0.02296325628664965
0.1,Heavy Ball,1e-06,10000,42621.42450905062,450.0,9.034415652514616e-05,0.08302654264041139,0.3900987525836949,9.034415652514616e-05,0.014683617261051126
0.1,Heavy Ball,1e-06,10000,42621.42450905062,500.0,1.900249316916236e-05,0.03660290052116663,0.39002741092033893,1.900249316916236e-05,0.008523859437893447
0.1,Nesterov,1e-06,10000,42621.42450905062,0.0,0.10999159157283023,0.8268278339392597,0.5,0.10999159157283023,1.0
0.1,Nesterov,1e-06,10000,42621.42450905062,50.0,0.015505939394246548,0.10667399452595858,0.4055143478214163,0.015505939394246548,0.8021672058246899
0.1,Nesterov,1e-06,10000,42621.42450905062,100.0,0.007440021344454206,0.05334332821948162,0.397448429771624,0.007440021344454206,0.6496861958048463
0.1,Nesterov,1e-06,10000,42621.42450905062,150.0,0.003895437015583758,0.033060342954496585,0.39390384544275353,0.003895437015583758,0.5103021325754878
0.1,Nesterov,1e-06,10000,42621.42450905062,200.0,0.0019139862595081714,0.020363143216363604,0.39192239468667794,0.0019139862595081714,0.3967526914280991
0.1,Nesterov,1e-06,10000,42621.42450905062,250.0,0.0009971305232328587,0.012887405671921813,0.39100553895040263,0.0009971305232328587,0.3187284802876386
0.1,Nesterov,1e-06,10000,42621.42450905062,300.0,0.000690205728714588,0.009646012837926689,0.39069861415588436,0.000690205728714588,0.2630594587065442
0.1,Nesterov,1e-06,10000,42621.42450905062,350.0,0.0004030906533311063,0.006350134136258459,0.3904114990805009,0.0004030906533311063,0.20789678680232862
0.1,Nesterov,1e-06,10000,42621.42450905062,400.0,0.00020824270923269772,0.004459627906820504,0.39021665113640247,0.00020824270923269772,0.1568939873166397
0.1,Nesterov,1e-06,10000,42621.42450905062,450.0,0.00011327228332669304,0.003110700054984768,0.39012168071049647,0.00011327228332669304,0.11593058278582714
0.1,Nesterov,1e-06,10000,42621.42450905062,500.0,5.94275610687478e-05,0.0021645290076074573,0.3900678359882385,5.94275610687478e-05,0.08524221726411632
0.5,Heavy Ball,1e-06,10000,47065.69125903045,0.0,0.13858492848461185,0.8228007590119051,0.5,0.13858492848461185,1.0
0.5,Heavy Ball,1e-06,10000,47065.69125903045,50.0,0.06649033349837907,1.9332443940764676,0.4279054050137672,0.06649033349837907,0.6650783338240901
0.5,Heavy Ball,1e-06,10000,47065.69125903045,100.0,0.05089271479741592,1.9079444204676104,0.41230778631280407,0.05089271479741592,0.43221205294844406
0.5,Heavy Ball,1e-06,10000,47065.69125903045,150.0,0.022111560182587087,1.2787409184041254,0.38352663169797524,0.022111560182587087,0.2684987843951105
0.5,Heavy Ball,1e-06,10000,47065.69125903045,200.0,0.005871031738197419,0.6165731535408415,0.36728610325358557,0.005871031738197419,0.18417314901276613
0.5,Heavy Ball,1e-06,10000,47065.69125903045,250.0,0.0009943172822151625,0.1743465867160079,0.3624093887976033,0.0009943172822151625,0.11828572107641461
