algorithm,sparsity,hidden_nodes,computational_time_seconds,epsilon,converged,iterations,final_gradient_norm,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,alpha,beta
Heavy Ball,0.1,500,0.2530850420007482,0.001,True,740,0.0007959097781315959,501,1000,350,100,4,0.005,143.30657802068905,0.005,28661.31560413781,0.027585342555222922,0.9766494859151316
Nesterov,0.1,500,0.14510158299526665,0.001,True,487,0.0009993460433290406,501,1000,350,100,4,0.005,143.30657802068905,0.005,28661.31560413781,0.006978046742945958,0.9882557796011777
LDLT,0.1,500,0.14959349999844562,0.001,True,0,4.048366996836316e-15,501,1000,350,100,4,0.005,143.30657802068905,0.005,28661.31560413781,,
Heavy Ball,0.1,1000,0.9428995420021238,0.001,True,1087,0.0006184081523465446,1001,1000,350,100,4,0.005,292.429030881879,0.005,58485.806176375794,0.013566109007978742,0.9835959702930959
Nesterov,0.1,1000,0.583837083002436,0.001,True,710,0.0009937487490915126,1001,1000,350,100,4,0.005,292.429030881879,0.005,58485.806176375794,0.0034196331225538634,0.991764069874028
LDLT,0.1,1000,0.512216624993016,0.001,True,0,7.225025838739637e-15,1001,1000,350,100,4,0.005,292.429030881879,0.005,58485.806176375794,,
Heavy Ball,0.1,2000,2.0582377910031937,0.001,True,1481,0.0006302770777117359,2001,1000,350,100,4,0.005,561.9070501892339,0.005,112381.41003784678,0.007076334745740977,0.988138882402312
Nesterov,0.1,2000,1.3390346659871284,0.001,True,1058,0.0009979340499740215,2001,1000,350,100,4,0.005,561.9070501892339,0.005,112381.41003784678,0.0017796537695393378,0.9940517503642916
LDLT,0.1,2000,1.835481082991464,0.001,True,0,9.678153436248301e-15,2001,1000,350,100,4,0.005,561.9070501892339,0.005,112381.41003784678,,
Heavy Ball,0.1,4000,6.429944750008872,0.001,True,2206,0.0009125611439302219,4001,1000,350,100,4,0.005,1145.5626831095067,0.005,229112.53662190132,0.0034771897341331574,0.9916780937315416
Nesterov,0.1,4000,4.519588416995248,0.001,True,1596,0.0009986830913019285,4001,1000,350,100,4,0.005,1145.5626831095067,0.005,229112.53662190132,0.0008729334629560449,0.9958303538914355
LDLT,0.1,4000,8.643794042000081,0.001,True,0,1.9446270257806567e-14,4001,1000,350,100,4,0.005,1145.5626831095067,0.005,229112.53662190132,,
Heavy Ball,0.1,8000,17.723572292001336,0.001,True,3246,0.0009893566513657815,8001,1000,350,100,4,0.005,2175.5619394436276,0.005,435112.3878887255,0.001833043430781423,0.9939543432861941
Nesterov,0.1,8000,12.797969249993912,0.001,True,2285,0.0009999605631356445,8001,1000,350,100,4,0.005,2175.5619394436276,0.005,435112.3878887255,0.0004596513580559041,0.9969725890345201
LDLT,0.1,8000,52.6756775410031,0.001,True,0,6.643954574171687e-14,8001,1000,350,100,4,0.005,2175.5619394436276,0.005,435112.3878887255,,
Heavy Ball,0.1,16000,48.210058750002645,0.001,True,4302,0.0009862487441162102,16001,1000,350,100,4,0.005,4521.995313758796,0.005,904399.0627517592,0.0008827079123809274,0.9958027283719632
Nesterov,0.1,16000,38.99098045899882,0.001,True,3489,0.0009995976743464952,16001,1000,350,100,4,0.005,4521.995313758796,0.005,904399.0627517592,0.00022114131718742867,0.9978991574162006
