analysis_type,parameter_name,parameter_value,algorithm,epsilon,number_of_trials,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,convergence_rate,mean_computational_time_seconds,std_computational_time_seconds,mean_iterations,std_iterations,mean_initial_gradient_norm,std_initial_gradient_norm,mean_final_gradient_norm,std_final_gradient_norm,mean_objective_value,mean_objective_gap_to_ldlt,mean_relative_error_to_ldlt,mean_train_accuracy,mean_test_accuracy,alpha,beta
sparsity,sparseness_percentage,0.1,LDLT,0.001,1,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,0.16027658399980282,0.0,0,0.0,,,7.136230607124274e-15,0.0,0.05892502809918939,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparseness_percentage,0.1,Heavy Ball,0.001,100,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,0.48463155669989644,0.1197630138537612,606.95,16.7823568070757,2.1472721739438807,0.09563172184625579,0.0006592861716786395,0.00013999740426583787,0.05892514927050492,1.2117131553295024e-07,0.0005697215617186658,0.9989999999999999,0.9971428571428572,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,Nesterov,0.001,100,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,0.6143219762500667,0.15770068090017808,770.27,0.4439594576084622,2.1472721739438807,0.09563172184625579,0.0009973475144994394,3.0308733899224345e-06,0.05892966867033769,4.64057114831197e-06,0.00694800592535193,0.9989999999999999,0.9971428571428572,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.2,LDLT,0.001,1,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,0.1776326670005801,0.0,0,0.0,,,7.532482854968809e-15,0.0,0.07734772665194745,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparseness_percentage,0.2,Heavy Ball,0.001,100,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,0.46993951797023326,0.14922099242635053,586.74,23.197249836995766,2.114461136419449,0.0970528533633596,0.0008017551555991819,0.00021226161266129831,0.07734792053039265,1.9387844518881093e-07,0.0007343816035502159,0.9989999999999999,0.9971428571428572,0.028431942020410966,0.9762960103268533
sparsity,sparseness_percentage,0.2,Nesterov,0.001,100,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,0.6192548333897503,0.19198903044745616,764.83,0.3756327994198589,2.114461136419449,0.0970528533633596,0.0009962623511263556,1.47021522432003e-06,0.07735305381276779,5.327160820355614e-06,0.007213673799008765,0.9989999999999999,0.9971428571428572,0.007193498468219189,0.9880769253083757
sparsity,sparseness_percentage,0.3,LDLT,0.001,1,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,0.23852629199973308,0.0,0,0.0,,,7.871773966677737e-15,0.0,0.09810862874073074,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparseness_percentage,0.3,Heavy Ball,0.001,100,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,0.6042554586998813,0.301647639669736,601.31,20.866094507597726,2.084196922536266,0.09849411649600533,0.0006594289664028304,0.00019818592129612278,0.09810876321142674,1.3447069599437088e-07,0.0006116939158231634,0.9989999999999999,0.9971428571428572,0.028422850855476158,0.9762997776005532
sparsity,sparseness_percentage,0.3,Nesterov,0.001,100,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,0.7496090100699075,0.2261240228213019,765.0,0.0,2.084196922536266,0.09849411649600533,0.0009976713002820907,7.59982830057105e-07,0.09811445131071667,5.82256998594946e-06,0.0071612603421157975,0.9989999999999999,0.9971428571428572,0.007191184542816313,0.9880788316731379
sparsity,sparseness_percentage,0.4,LDLT,0.001,1,50000,500,501,1000,350,100,100,0.005,139.06256369625876,0.005,27812.512739251753,1.0,0.20627983400117955,0.0,0,0.0,,,8.517695113422749e-15,0.0,0.12000747742402762,0.0,0.0,0.999,0.9971428571428571,,
