analysis_type,parameter_name,parameter_value,initialization_index,initialization_seed,algorithm,epsilon,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,converged,iterations,computational_time_seconds,initial_gradient_norm,final_gradient_norm,objective_value,objective_gap_to_ldlt,relative_error_to_ldlt,train_accuracy,test_accuracy,alpha,beta
sparsity,sparseness_percentage,0.1,0,103007,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5030497910011036,2.163603482522082,0.0005973152284062775,0.0589251218291941,9.373000470908055e-08,0.000512527150272856,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,0,103007,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,1.0685290840010566,2.163603482522082,0.0009988639639235003,0.05892968722980363,4.659130614238782e-06,0.0069654264988336006,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,1,103008,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6323826669977279,2.2892099241807378,0.0006135196423143868,0.05892512224120922,9.414201983248827e-08,0.0005122450279702764,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,1,103008,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.7135621670022374,2.2892099241807378,0.0009991247493892686,0.05892968791538873,4.65981619934136e-06,0.006962003479322608,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,2,103009,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5946557919996849,2.2424231389291016,0.0006056415020078544,0.058925122091129545,9.39919401546363e-08,0.0005135703107732506,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,2,103009,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.909424665998813,2.2424231389291016,0.0009926997384641326,0.058929636440449684,4.608341260294024e-06,0.006932141156913075,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,3,103010,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.5596578340009728,2.021716554496171,0.0009991126282995917,0.05892530331744944,2.7521826004989203e-07,0.0008932976520818107,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,3,103010,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,1.1888214579994383,2.021716554496171,0.000998825409874095,0.058929679229610385,4.651130420994798e-06,0.006959762421922967,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,4,103011,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.7612212919993908,2.185125427799829,0.0006019438554800149,0.05892512229114057,9.4191951183209e-08,0.0005130657232656852,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,4,103011,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.74343349999981,2.185125427799829,0.0009986959298919833,0.05892968404617769,4.65594698829952e-06,0.0069658329591683315,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,5,103012,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6611642919997394,2.245466145096189,0.0006056526907857925,0.05892512165070238,9.355151298767739e-08,0.0005127887924158616,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,5,103012,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,1.074736375001521,2.245466145096189,0.0009997702053816358,0.05892969601292268,4.667913733290285e-06,0.006969649723135886,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,6,103013,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6914517080003861,2.1070463293002804,0.0005944988624047642,0.05892512232962057,9.42304311801756e-08,0.0005129649536658092,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,6,103013,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.6966209580023133,2.1070463293002804,0.0009926384448778098,0.05892962969760748,4.601598418092767e-06,0.006918133419404803,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,7,103014,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5795737919979729,2.33126568631742,0.0006158301748497886,0.05892512184268556,9.374349616703137e-08,0.0005119106177386952,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,7,103014,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.7283510839988594,2.33126568631742,0.0009985902383406145,0.058929679844923394,4.651745734003676e-06,0.00695857461226503,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,8,103015,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,1.2255811670002004,2.1596315781336353,0.0005985798155838145,0.05892512197356027,9.387437088087536e-08,0.0005123727672468186,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,8,103015,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.9838334999985818,2.1596315781336353,0.0009921228190850134,0.05892962958349409,4.601484304700421e-06,0.006918588574020721,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,9,103016,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.6568705830031831,2.046369219622426,0.0005896890572978757,0.058925122375383374,9.427619398344467e-08,0.0005126787646371304,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,9,103016,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.9734283339967078,2.046369219622426,0.0009995679268641874,0.05892968621958283,4.658120393442877e-06,0.006961944865447453,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,10,103017,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,567,0.45036904199878336,1.9241036472798307,0.0009745317077136318,0.05892530204222427,2.739430348813743e-07,0.0008940154345656536,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,10,103017,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.6841856250030105,1.9241036472798307,0.0009997672606481792,0.05892968843775814,4.660338568752975e-06,0.006963681959745005,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,11,103018,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.5632891670029494,2.284923222372817,0.0006113094228237918,0.05892512211860906,9.401941967329686e-08,0.0005129900657066473,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,11,103018,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,771,0.5456772090001323,2.284923222372817,0.0009920398046602236,0.058929627911827966,4.599812638575451e-06,0.006920766250332819,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,12,103019,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.44871524999689427,2.157537978216864,0.0005985071259510863,0.05892512216770916,9.406851977228348e-08,0.0005117682212247735,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,12,103019,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.5384286669977882,2.157537978216864,0.0009981263782884628,0.058929674813734616,4.646714545225583e-06,0.006949164904791748,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparseness_percentage,0.1,13,103020,Heavy Ball,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,614,0.39947754199965857,2.0480794546732484,0.0005886581186997314,0.05892512229277002,9.419358062978667e-08,0.0005120961450563948,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparseness_percentage,0.1,13,103020,Nesterov,0.001,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,770,0.509072291002667,2.0480794546732484,0.0009998676769284026,0.05892968578926146,4.657690072067122e-06,0.0069547814756256675,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
