analysis_type,parameter_name,parameter_value,initialization_index,initialization_seed,algorithm,epsilon,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,converged,iterations,computational_time_seconds,initial_gradient_norm,final_gradient_norm,objective_value,objective_gap_to_ldlt,relative_error_to_ldlt,train_accuracy,test_accuracy,alpha,beta
sparsity,sparsity,0.1,0,103007,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.6271940000005998,2.163603482522082,7.745388921769394e-07,0.05892502809943173,2.4234086959395995e-13,8.28250759352349e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,0,103007,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.817293417001565,2.163603482522082,9.976408486655645e-07,0.05892502810756105,8.371657533867705e-12,1.078871432723941e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,1,103008,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.6795531669995398,2.2892099241807378,7.819464477811449e-07,0.05892502809943338,2.4399232634308987e-13,8.281504016318969e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,1,103008,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.5812318329990376,2.2892099241807378,9.981577361738218e-07,0.0589250281075607,8.37131058917251e-12,1.078404208877172e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,2,103009,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.6201640840008622,2.2424231389291016,7.797674425473987e-07,0.05892502809943357,2.4417967647849537e-13,8.294244674812722e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,2,103009,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.237018249999892,2.2424231389291016,9.988508543092366e-07,0.05892502810757347,8.384078153955699e-12,1.0795451852332845e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,3,103010,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.8359403340000426,2.021716554496171,7.783170195947186e-07,0.05892502809943299,2.4359680939056716e-13,8.278618081768953e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,3,103010,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.5084791659992334,2.021716554496171,9.975621702595677e-07,0.05892502810755059,8.361200620754516e-12,1.077434175521245e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,4,103011,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.5791077919984673,2.185125427799829,7.743651745978268e-07,0.05892502809943241,2.4302088119654286e-13,8.289285420711526e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,4,103011,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.387755334000758,2.185125427799829,9.981316688955213e-07,0.058925028107572414,8.383023442082305e-12,1.0797667581414658e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,5,103012,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.8117605000006733,2.245466145096189,7.734082843652069e-07,0.058925028099431426,2.4203555826218803e-13,8.280846232597005e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,5,103012,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.621682958000747,2.245466145096189,9.98422191573077e-07,0.058925028107565745,8.37635516504065e-12,1.0783579816658307e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.1,6,103013,Heavy Ball,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1150,1.5430962499995076,2.1070463293002804,7.769897746873028e-07,0.05892502809943302,2.436315038600867e-13,8.283441004798462e-07,0.999,0.9971428571428571,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,6,103013,Nesterov,1e-06,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,True,1822,2.165573708000011,2.1070463293002804,9.991534703934139e-07,0.05892502810756847,8.379082150344885e-12,1.0779507474118644e-05,0.999,0.9971428571428571,0.00718451989673496,0.9880843241842782
