analysis_type,parameter_name,parameter_value,algorithm,epsilon,number_of_trials,output_weight_count,hidden_width,q_dimension,n_train,n_test,n_features,n_classes,lambda_reg,estimated_L,mu,condition_number,convergence_rate,mean_computational_time_seconds,std_computational_time_seconds,mean_iterations,std_iterations,mean_initial_gradient_norm,std_initial_gradient_norm,mean_final_gradient_norm,std_final_gradient_norm,mean_objective_value,mean_objective_gap_to_ldlt,mean_relative_error_to_ldlt,mean_train_accuracy,mean_test_accuracy,alpha,beta
sparsity,sparsity,0.1,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,0.1643415830003505,0.0,0,0.0,,,7.136230607124274e-15,0.0,0.05892502809918939,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparsity,0.1,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,1.3745064937599636,2.51520482498767,1150.0,0.0,2.1472721739438807,0.09563172184625579,7.772611814406235e-07,3.0894357143404493e-09,0.0589250280994327,2.433069024032619e-13,8.282082224799111e-07,0.9989999999999999,0.9971428571428572,0.028396666029075878,0.9763106316987017
sparsity,sparsity,0.1,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.18814539778154,0.005,27837.629079556307,1.0,1.7744689949100576,0.6551165288049184,1822.0,0.0,2.1472721739438807,0.09563172184625579,9.980038443093515e-07,7.472843575004521e-10,0.058925028107556454,8.367071757664491e-12,1.077998170379837e-05,0.9989999999999999,0.9971428571428572,0.00718451989673496,0.9880843241842782
sparsity,sparsity,0.2,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,0.2830239579998306,0.0,0,0.0,,,7.532482854968809e-15,0.0,0.07734772665194745,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparsity,0.2,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,1.0334453395500531,0.1622214454116919,1150.0,0.0,2.114461136419449,0.0970528533633596,8.316907558381128e-07,3.4331934629141762e-09,0.07734772665218827,2.4081250882268533e-13,8.256099815595782e-07,0.9989999999999999,0.9971428571428572,0.028431942020410966,0.9762960103268533
sparsity,sparsity,0.2,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.01441759082746,0.005,27802.88351816549,1.0,1.6406715142999928,0.24358458408820555,1833.0,0.0,2.114461136419449,0.0970528533633596,9.964328679922292e-07,6.785867951186468e-10,0.0773477266605091,8.56165568996481e-12,1.0085686025279187e-05,0.9989999999999999,0.9971428571428572,0.007193498468219189,0.9880769253083757
sparsity,sparsity,0.3,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,0.27393750000010186,0.0,0,0.0,,,7.871773966677737e-15,0.0,0.09810862874073074,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparsity,0.3,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,1.1046481041800142,0.1736995281816321,1150.0,0.0,2.084196922536266,0.09849411649600533,7.17449446414896e-07,2.58663106098123e-09,0.09810862874095573,2.249764263773102e-13,8.167886854568375e-07,0.9989999999999999,0.9971428571428572,0.028422850855476158,0.9762997776005532
sparsity,sparsity,0.3,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.05914860702015,0.005,27811.82972140403,1.0,1.7902632670499588,0.3820115486164267,1838.0,0.0,2.084196922536266,0.09849411649600533,9.976124334587502e-07,6.701321055466776e-10,0.09810862874970276,8.972017156994027e-12,1.0039639403885609e-05,0.9989999999999999,0.9971428571428572,0.007191184542816313,0.9880788316731379
sparsity,sparsity,0.4,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,139.06256369625876,0.005,27812.512739251753,1.0,0.26238691700018535,0.0,0,0.0,,,8.517695113422749e-15,0.0,0.12000747742402762,0.0,0.0,0.999,0.9971428571428571,,
sparsity,sparsity,0.4,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.06256369625876,0.005,27812.512739251753,1.0,1.131034922509916,0.06186082671925421,1150.0,0.0,2.055143418618564,0.10002201602381355,7.000084766551109e-07,2.8919844361517417e-09,0.12000747742424249,2.148496658360699e-13,8.176806835782775e-07,0.9989999999999999,0.9971428571428572,0.02842215700943562,0.9763000651473779
sparsity,sparsity,0.4,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,139.06256369625876,0.005,27812.512739251753,1.0,1.8210325979201663,0.2116616115745686,1840.22,0.41424630354415953,2.055143418618564,0.10002201602381355,9.981898962840267e-07,2.1541556535552717e-09,0.12000747743360618,9.578550869138169e-12,1.0012845262482424e-05,0.9989999999999999,0.9971428571428572,0.007191007942182093,0.9880789771811653
sparsity,sparsity,0.5,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,138.85536432778866,0.005,27771.072865557733,1.0,0.3305112090001785,0.0,0,0.0,,,8.108625806507442e-15,0.0,0.1442708074454839,0.0,0.0,0.999,0.9885714285714285,,
sparsity,sparsity,0.5,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.85536432778866,0.005,27771.072865557733,1.0,1.3651504432800539,0.2324006419753064,1150.0,0.0,2.020708330433314,0.10127759902549409,6.642085439254019e-07,2.648098700480764e-09,0.14427080744568588,2.0194568239872978e-13,8.177969091166671e-07,0.9989999999999999,0.9885714285714289,0.02846431535314686,0.9762826001395206
sparsity,sparsity,0.5,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.85536432778866,0.005,27771.072865557733,1.0,2.2188780916598807,0.401907322494564,1841.0,0.0,2.020708330433314,0.10127759902549409,9.97813309538521e-07,5.559329195329775e-10,0.14427080745551601,1.003210986505465e-11,9.969038624734473e-06,0.9989999999999999,0.9885714285714289,0.007201738332840724,0.9880701392813774
sparsity,sparsity,0.6,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,138.805390163131,0.005,27761.0780326262,1.0,0.31008825000026263,0.0,0,0.0,,,8.636341821587321e-15,0.0,0.171036383690222,0.0,0.0,1.0,0.8742857142857143,,
sparsity,sparsity,0.6,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.805390163131,0.005,27761.0780326262,1.0,1.7116282170398882,0.1536966351409695,1150.0,0.0,1.9913090765054813,0.10246250610191351,5.331450901742152e-07,2.2509298069512182e-09,0.17103638369039587,1.7384760298000402e-13,8.245194221962356e-07,1.0,0.8742857142857144,0.028474502227784144,0.97627838196983
sparsity,sparsity,0.6,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.805390163131,0.005,27761.0780326262,1.0,2.7364704841999448,0.3121347470191086,1842.0,0.0,1.9913090765054813,0.10246250610191351,9.96440224424121e-07,6.187415849898368e-10,0.17103638370083363,1.0611611589439462e-11,1.0150969351524774e-05,1.0,0.8742857142857144,0.007204331177807651,0.9880680047293455
sparsity,sparsity,0.7,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,138.84512317327287,0.005,27769.024634654572,1.0,0.34693112499917333,0.0,0,0.0,,,8.360880888016489e-15,0.0,0.19742558708165245,0.0,0.0,1.0,0.7314285714285714,,
sparsity,sparsity,0.7,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.84512317327287,0.005,27769.024634654572,1.0,1.7795334387501134,0.4196627803289252,1150.0,0.0,1.9627436529458628,0.10383941193790729,5.291866887410875e-07,2.6747955846263493e-09,0.1974255870818254,1.7298301679957717e-13,8.265724022954629e-07,1.0,0.7314285714285712,0.02846640234423326,0.9762817358983659
sparsity,sparsity,0.7,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.84512317327287,0.005,27769.024634654572,1.0,2.855850505389881,0.6905470433965343,1843.84,0.36660605559646714,1.9627436529458628,0.10383941193790729,9.954342081516395e-07,1.8784853168713883e-09,0.19742558709286295,1.1210536665640092e-11,1.0260457113313208e-05,1.0,0.7314285714285712,0.007202269529856242,0.9880697019433223
sparsity,sparsity,0.8,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,138.63531281391272,0.005,27727.062562782543,1.0,0.30515733399988676,0.0,0,0.0,,,8.60476972724169e-15,0.0,0.2269660553761871,0.0,0.0,0.999,0.35714285714285715,,
sparsity,sparsity,0.8,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.63531281391272,0.005,27727.062562782543,1.0,2.2909138232701114,2.380728227265837,1149.2,3.4871191548325386,1.9305762411486154,0.10510859920396827,4.919209883473094e-07,1.1310512540991235e-07,0.22696605537634634,1.5929424446170516e-13,8.348991312051004e-07,0.9989999999999999,0.357142857142857,0.02850922605682511,0.9762640093003924
sparsity,sparsity,0.8,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.63531281391272,0.005,27727.062562782543,1.0,3.640155029610014,3.810845131131096,1840.97,0.1705872210923198,1.9305762411486154,0.10510859920396827,9.951399181035533e-07,9.896431520929383e-10,0.22696605538828385,1.2096754986590242e-11,1.0699641938786298e-05,0.9989999999999999,0.357142857142857,0.007213169427779768,0.9880607315850541
sparsity,sparsity,0.9,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.005,138.69733428543955,0.005,27739.46685708791,1.0,0.2683128749995376,0.0,0,0.0,,,8.983095793049812e-15,0.0,0.2586122406767745,0.0,0.0,0.99,0.12857142857142856,,
sparsity,sparsity,0.9,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.69733428543955,0.005,27739.46685708791,1.0,1.560861086189925,0.16206126449718622,1124.94,29.968923904604914,1.8996629814411634,0.10696557081486242,6.597550649522924e-07,2.971659956539961e-07,0.25861224067711425,3.3971270241295316e-13,1.224990176555584e-06,0.9899999999999999,0.12857142857142853,0.02849655362683368,0.9762692535660202
sparsity,sparsity,0.9,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.005,138.69733428543955,0.005,27739.46685708791,1.0,2.5886719311998787,0.3124958955032546,1837.0,0.0,1.8996629814411634,0.10696557081486242,9.972962457632872e-07,5.301745804783327e-10,0.258612240690175,1.34005073704202e-11,1.1317976499240577e-05,0.9899999999999999,0.12857142857142853,0.00720994390520871,0.988063385398943
rho,rho,0.1,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,162.3238907208329,0.001,162323.8907208329,1.0,0.27894783299962,0.0,0,0.0,,,1.3742166616968316e-15,0.0,0.3886149703752332,0.0,0.0,0.975,0.5114285714285715,,
rho,rho,0.1,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,162.3238907208329,0.001,162323.8907208329,1.0,3.8916464454000015,0.9465411933419322,2850.11,10.746994928816147,2.4193264150938614,0.10791121846416422,7.070403770081367e-07,5.1985366393069196e-08,0.3886149703752713,3.802236303585005e-14,2.1745392469697066e-06,0.9749999999999995,0.5114285714285716,0.02452021907936012,0.9901209412540064
rho,rho,0.1,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,162.3238907208329,0.001,162323.8907208329,1.0,4.099329907930041,0.9425299250331641,2988.9,1.7233687939614086,2.4193264150938614,0.10791121846416422,9.98836054845968e-07,6.042207048370475e-10,0.3886149708740699,4.988367291458574e-10,0.000998835900211211,0.9749999999999995,0.5114285714285716,0.006160522616598781,0.9950482105174635
rho,rho,0.2,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,163.73476091499697,0.001,163734.76091499696,1.0,0.2986460829997668,0.0,0,0.0,,,1.5097964568673054e-15,0.0,0.3832749826428939,0.0,0.0,0.981,0.5628571428571428,,
rho,rho,0.2,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,163.73476091499697,0.001,163734.76091499696,1.0,3.94923805456001,0.9123170177030222,2867.84,1.5919798993705918,2.5384693656878192,0.10952697797601553,7.519218649273934e-07,3.0232219452930046e-08,0.3832749826429307,3.681888127715638e-14,2.1187220193250477e-06,0.9809999999999998,0.5628571428571428,0.02430945292415785,0.9901633859821419
rho,rho,0.2,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,163.73476091499697,0.001,163734.76091499696,1.0,4.232305429960015,1.368623417491526,3001.89,1.7314444836609695,2.5384693656878192,0.10952697797601553,9.988249686054424e-07,6.041537030196352e-10,0.38327498314171715,4.988232349401044e-10,0.0009988224171126722,0.9809999999999998,0.5628571428571428,0.006107438606266087,0.9950695382646089
rho,rho,0.3,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,168.9011419500002,0.001,168901.1419500002,1.0,0.30686620800042874,0.0,0,0.0,,,1.685767933935592e-15,0.0,0.37678514624761167,0.0,0.0,0.986,0.6228571428571429,,
rho,rho,0.3,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,168.9011419500002,0.001,168901.1419500002,1.0,5.666256652919983,1.6163178596673442,3026.6,4.8,2.7201801891932305,0.11591004320649961,9.170549472857004e-07,6.348373652011151e-08,0.3767851462476268,1.5091816685242066e-14,1.2625694423179079e-06,0.9860000000000002,0.6228571428571429,0.023567661575905688,0.990314260461594
rho,rho,0.3,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,168.9011419500002,0.001,168901.1419500002,1.0,5.6812686491299065,1.5307230219320633,3048.93,1.73352242558324,2.7201801891932305,0.11591004320649961,9.989061436512015e-07,5.921747812278683e-10,0.3767851467465071,4.988954033224857e-10,0.000998894574870178,0.9860000000000002,0.6228571428571429,0.005920623084336694,0.9951453464000091
rho,rho,0.4,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,192.6995420875754,0.001,192699.5420875754,1.0,0.3208917090014438,0.0,0,0.0,,,2.0073696346247213e-15,0.0,0.3687361972540623,0.0,0.0,0.988,0.7228571428571429,,
rho,rho,0.4,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,192.6995420875754,0.001,192699.5420875754,1.0,7.13695488575997,0.7884437161346691,3057.0,0.0,2.9538237035268935,0.12911981644515183,7.77457905117392e-07,1.3151412231969396e-08,0.3687361972541226,6.034006627686495e-14,2.6706287339831277e-06,0.9879999999999997,0.7228571428571425,0.02066345250306142,0.9909292493704012
rho,rho,0.4,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,192.6995420875754,0.001,192699.5420875754,1.0,7.558075992859995,0.7931821900076601,3257.11,1.902077811236964,2.9538237035268935,0.12911981644515183,9.989772172957273e-07,5.30778083241257e-10,0.36873619775275396,4.986916007920783e-10,0.0009986903064202646,0.9879999999999997,0.7228571428571425,0.00518942592788069,0.995454292958949
rho,rho,0.5,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,232.6680125751411,0.001,232668.0125751411,1.0,0.33334300000205985,0.0,0,0.0,,,2.4696626032929483e-15,0.0,0.3584686202577563,0.0,0.0,0.992,0.7857142857142857,,
rho,rho,0.5,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,232.6680125751411,0.001,232668.0125751411,1.0,8.89059420372978,4.196014005075543,3325.0,0.0,3.228935350644686,0.14860963236256414,9.226658232769736e-07,2.234153538452891e-08,0.3584686202578407,8.453793221008255e-14,3.0503684963814987e-06,0.9920000000000004,0.785714285714286,0.017120815851233664,0.9917416592936803
rho,rho,0.5,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,232.6680125751411,0.001,232668.0125751411,1.0,9.348992155349988,4.347196321976671,3585.03,1.7461672313956644,3.228935350644686,0.14860963236256414,9.989395945720737e-07,5.980654837415774e-10,0.35846862074648234,4.887260340868948e-10,0.000988646961577206,0.9920000000000004,0.785714285714286,0.004297969406847647,0.9958622692389145
rho,rho,0.6,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,275.613244319543,0.001,275613.244319543,1.0,0.24799604199870373,0.0,0,0.0,,,3.198435552086114e-15,0.0,0.34486320978813634,0.0,0.0,0.996,0.8742857142857143,,
rho,rho,0.6,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,275.613244319543,0.001,275613.244319543,1.0,4.058545826629961,0.24165096191416352,3652.26,70.87208477249699,3.535910006026508,0.17251445431753962,8.359150150466313e-07,1.465598155687265e-07,0.3448632097882214,8.508249660366119e-14,2.7991511022759236e-06,0.9960000000000001,0.8742857142857144,0.014457959081704972,0.9924097333534949
rho,rho,0.6,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,275.613244319543,0.001,275613.244319543,1.0,4.374829621329809,0.2474936518605302,3937.38,5.538555768429167,3.535910006026508,0.17251445431753962,9.991627098125308e-07,5.680069715184247e-10,0.3448632102226853,4.345488358037386e-10,0.000932111789095265,0.9960000000000001,0.8742857142857144,0.0036282726632708945,0.9961976376972066
rho,rho,0.7,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,319.1708916818668,0.001,319170.8916818668,1.0,0.256381582999893,0.0,0,0.0,,,4.009223911245465e-15,0.0,0.32582862949825636,0.0,0.0,0.999,0.9371428571428572,,
rho,rho,0.7,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,319.1708916818668,0.001,319170.8916818668,1.0,4.716799487039971,0.29758620778638184,4034.0,0.0,3.8663639854530785,0.19899891835097133,6.398967420053576e-07,2.0826498156404753e-08,0.32582862949829233,3.6021741145475515e-14,1.927374070370044e-06,0.9989999999999999,0.9371428571428574,0.012488222205013895,0.9929447524588892
rho,rho,0.7,Nesterov,1e-06,100,50000,500,501,1000,350,100,100,0.001,319.1708916818668,0.001,319170.8916818668,1.0,5.192507441250018,0.250637878512165,4462.65,0.5894913061275798,3.8663639854530785,0.19899891835097133,9.957756414326173e-07,2.561219390863256e-09,0.3258286297132098,2.149534383821816e-10,0.0006548184255702413,0.9989999999999999,0.9371428571428574,0.003133117793826728,0.9964661321183421
rho,rho,0.8,LDLT,1e-06,1,50000,500,501,1000,350,100,100,0.001,362.7314740566725,0.001,362731.4740566725,1.0,0.2575353339998401,0.0,0,0.0,,,5.7391997678595244e-15,0.0,0.2968132087812823,0.0,0.0,0.999,0.9885714285714285,,
rho,rho,0.8,Heavy Ball,1e-06,100,50000,500,501,1000,350,100,100,0.001,362.7314740566725,0.001,362731.4740566725,1.0,5.391783967899937,0.6237498612834202,4365.0,0.0,4.213130707562174,0.22668762659648903,7.573881935509546e-07,3.3675946470152916e-08,0.2968132087813125,3.024358541381389e-14,1.5814043366754928e-06,0.9989999999999999,0.9885714285714289,0.01099091272155698,0.9933804818156594
